CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2016 Score,Change in Yearly Score from 2015,Property Rights,Change in Property Rights from 2015,Freedom from Corruption,Change in Freedom from Corruption from 2015,Fiscal Freedom ,Change in Fiscal Freedom from 2015,Gov't Spending,Change in Gov't Spending from 2015,Business Freedom,Change in Business Freedom from 2015,Labor Freedom,Change in Labor Freedom from 2015,Monetary Freedom,Change in Monetary Freedom from 2015,Trade Freedom,Change in Trade Freedom from 2015,Investment Freedom ,Change in Investment Freedom from 2015,Financial Freedom,Change in Financial Freedom from 2015,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
11,Bahrain,Bahrain,Middle East / North Africa,18,1,74.3,0.9,60.0,0.0,49.0,1.0,99.9,0.0,75.4,2.3,71.9,-0.6,79.1,-4.0,74.6,0.4,82.6,4.0,70,5.0,80,0.0,3.7,0.0,0.0,3.1,28.6,Bahrain,1.2,$61.9 ,4.7,4.0,"$51,714",4.1,2.5,957.4,43.8
12,Bangladesh,Bangladesh,Asia-Pacific,137,29,53.3,-0.6,20.0,0.0,25.0,-2.0,72.7,0.0,93.6,1.6,52.6,-9.6,62.5,-1.2,68.2,0.5,63.6,4.6,45,0.0,30,0.0,10.7,25.0,45.0,9.0,14.6,Bangladesh,158.2,$533.7 ,6.1,6.2,"$3,373",4.3,7.0,"1,526.7",33.9
13,Barbados,Barbados,South and Central America / Caribbean,45,7,68.3,0.4,80.0,0.0,74.0,-1.0,75.8,2.0,37.6,-4.5,70.2,-1.4,67.3,-1.9,80.8,2.6,62.2,-1.6,75,10.0,60,0.0,13.9,35.0,25.0,23.9,45.6,Barbados,0.3,$4.5 ,-0.3,0.1,"$16,183",12.0,1.9,275.1,100.4
14,Belarus,Belarus,Europe,157,43,48.8,-1.0,20.0,0.0,31.0,2.0,88.6,2.2,44.8,-9.9,69,-3.0,74.9,-5.2,50.4,5.9,79,-2.0,20,0.0,10,0.0,3.0,13.0,18.0,25.4,42.9,Belarus,9.5,$172.0 ,1.6,3.5,"$18,161",5.9,18.1,"1,798.2",37.9
15,Belgium,Belgium,Europe,44,21,68.4,-0.4,80.0,0.0,76.0,1.0,44.2,0.6,11.0,0.8,85.4,-5.3,60.5,-3.2,84.0,2.3,88,0.0,85,0.0,70,0.0,1.0,50.0,33.0,44.6,54.5,Belgium,11.2,$481.5 ,1.0,1.1,"$42,973",8.5,0.5,"-4,956.7",105.6
16,Belize,Belize,South and Central America / Caribbean,118,20,57.4,0.6,35.0,5.0,6.7,0.0,82.1,-0.3,71.9,-6.4,63.3,4.2,60.3,-1.5,79.2,-0.1,70,-0.4,55,5.0,50,0.0,10.0,25.0,25.0,23.2,30.6,Belize,0.4,$2.9 ,3.4,2.7,"$8,248",11.5,0.9,141.1,76.3
17,Benin,Benin,Sub-Saharan Africa,101,12,59.3,0.5,30.0,0.0,39.0,3.0,68.1,-0.2,84.9,-1.8,51.3,-3.9,53.8,0.6,82.2,2.3,58.8,0.4,75,5.0,50,0.0,15.6,45.0,30.0,16.3,22.4,Benin,10.6,$19.8 ,5.5,4.5,"$1,870",1,-1.0,377.4,30.9
18,Bhutan,Bhutan,Asia-Pacific,97,20,59.5,2.1,60.0,0.0,65.0,2.0,83.1,0.5,67.5,7.4,65.2,3.3,77.6,-3.5,66.9,0.9,60,10.6,20,0.0,30,0.0,10.0,25.0,30.0,13.0,32.9,Bhutan,0.8,$5.9 ,6.4,7.4,"$7,641",2.8,7.7,5.8,107.5
19,Bolivia,Bolivia,South and Central America / Caribbean,160,26,47.4,0.6,10.0,0.0,35.0,1.0,86.4,-0.4,55.5,-5.4,58.8,5.1,31.7,6.2,65.0,-4.7,76.6,-1.0,15,5.0,40,0.0,4.2,13.0,25.0,23.8,38.5,Bolivia,11.2,$70.0 ,5.4,5.3,"$6,221",2.7,5.8,647.8,32.4
20,Bosnia and Herzegovina,BosniaHerzegovina,Europe,108,39,58.6,-0.4,20.0,0.0,39.0,-3.0,83.9,1.0,33.1,5.8,54.6,1.1,59.4,-4.0,84.3,0.3,87,-0.2,65,-5.0,60,0.0,1.5,10.0,10.0,37.6,47.2,Bosnia and Herzegovina,3.9,$38.1 ,0.8,0.8,"$9,833",27.9,-0.9,564.0,44.9
21,Botswana,Botswana,Sub-Saharan Africa,30,2,71.1,1.3,70.0,0.0,63.0,-1.0,79.1,-0.4,68.4,6.5,66.4,-0.4,68.5,-1.5,76.3,2.4,84,11.8,65,-5.0,70,0.0,0.5,25.0,22.0,31.3,32.4,Botswana,2.1,$33.7 ,4.9,6.0,"$16,036",18.2,3.9,393.2,14.5
22,Brazil,Brazil,South and Central America / Caribbean,122,21,56.5,-0.1,45.0,-5.0,43.0,1.0,69.7,1.3,55.2,4.3,61.4,7.8,52.5,0.4,64.2,-5.2,69.4,-0.2,55,5.0,50,-10.0,7.8,27.5,34.0,33.4,38.6,Brazil,202.8,"$3,263.8 ",0.1,3.2,"$16,096",6.8,6.3,"62,494.8",65.2
23,Bulgaria,Bulgaria,Europe,60,28,65.9,-0.9,30.0,0.0,43.0,2.0,91.1,0.1,60.4,-4.1,66.9,-1.6,71.6,-5.0,82.6,-0.6,88,0.0,65,0.0,60,0.0,1.0,10.0,10.0,26.3,36.3,Bulgaria,7.2,$128.6 ,1.7,1.2,"$17,860",11.6,-1.6,"1,710.3",26.9
24,Burkina Faso,BurkinaFaso,Sub-Saharan Africa,104,14,59.1,0.5,30.0,5.0,38.0,0.0,82.8,0.4,76.8,-3.0,46.3,-3.3,58.9,1.1,84.9,4.9,68.2,0.0,65,0.0,40,0.0,8.4,27.5,27.5,14.5,27.8,Burkina Faso,17.4,$29.3 ,4.0,6.4,"$1,682",3.1,-0.3,341.9,28.3
25,Burma,Burma,Asia-Pacific,158,36,48.7,1.8,10.0,0.0,21.0,0.0,86.6,-0.3,75.3,-2.6,32.6,3.9,76.8,-2.5,70.0,3.9,74.2,0.0,20,5.0,20,10.0,2.9,20.0,30.0,6.1,28.7,Burma,51.4,$242.0 ,7.7,6.9,"$4,706",3.3,5.9,946.2,16.8
26,Burundi,Burundi,Sub-Saharan Africa,133,28,53.9,0.2,20.0,0.0,20.0,-1.0,73.8,0.3,70.5,9.2,54.2,-7.2,67.6,-0.5,73.8,4.0,74.2,2.0,55,-5.0,30,0.0,5.4,35.0,35.0,13.1,31.4,Burundi,9.2,$8.4 ,4.7,4.5,$911,6.9,4.4,32.0,30.5
27,Cambodia,Cambodia,Asia-Pacific,112,24,57.9,0.4,25.0,0.0,21.0,1.0,90.5,0.0,87.4,-0.1,32.3,3.1,62.5,0.3,78.1,-0.6,72.2,0.0,60,0.0,50,0.0,8.9,20.0,20.0,12.4,20.5,Cambodia,15.3,$50.0 ,7.0,6.9,"$3,263",0.4,3.9,"1,730.4",29.5
28,Cameroon,Cameroon,Sub-Saharan Africa,130,27,54.2,2.3,25.0,0.0,27.0,2.0,75.6,3.9,85.6,-2.2,46.9,5.3,48.9,1.1,81.2,5.6,61.6,2.0,40,5.0,50,0.0,11.7,35.0,33.0,11.3,21.9,Cameroon,22.5,$67.2 ,5.1,4.5,"$2,981",4.3,1.9,501.2,23.9
29,Canada,Canada,North America,6,1,78.0,-1.1,90.0,0.0,81.0,0.0,80.0,0.1,50.4,2.1,81.8,-7.2,72.6,-3.5,76.9,-1.0,87,-1.4,80,0.0,80,0.0,1.5,29.0,15.0,30.6,40.7,Canada,35.5,"$1,591.6 ",2.5,2.6,"$44,843",6.9,1.9,"53,864.0",86.5
30,Cabo Verde,CaboVerde,Sub-Saharan Africa,57,3,66.5,0.1,75.0,0.0,57.0,-1.0,78.1,-0.2,66.9,-1.0,61.3,-0.5,43.6,1.5,84.5,3.5,68.2,-1.4,70,0.0,60,0.0,10.9,35.0,25.0,18.5,33.2,Cape Verde,0.5,$3.3 ,1.0,1.6,"$6,324",9.2,-0.2,78.1,112.2
31,Central African Republic,CentralAfricanRepublic,Sub-Saharan Africa,168,42,45.2,-0.7,10.0,-5.0,24.0,-1.0,65.7,0.7,93.6,1.6,28,0.8,40.9,3.4,62.9,-6.7,52.2,-0.2,45,0.0,30,0.0,16.4,50.0,30.0,5.2,14.7,Central African Republic,4.7,$2.9 ,1.0,-4.9,$607,7.4,15.0,3.5,41.8
32,Chad,Chad,Sub-Saharan Africa,164,41,46.3,0.4,20.0,0.0,22.0,3.0,46.0,-0.2,84.3,0.7,30.9,3.8,48.9,1.2,71.4,-4.2,49.8,-5.4,50,5.0,40,0.0,15.1,60.0,45.0,6.6,22.9,Chad,11.3,$29.5 ,6.9,7.0,"$2,617",7,1.7,760.5,25.0
33,Chile,Chile,South and Central America / Caribbean,7,1,77.7,-0.8,85.0,-5.0,73.0,2.0,74.8,-1.7,83.1,-0.2,72.1,2.8,64.3,-2.7,82.9,-2.7,86.4,4.4,85,-5.0,70,0.0,1.8,40.0,22.5,20.2,23.7,Chile,17.8,$409.3 ,1.8,4.6,"$22,971",6.4,4.4,"22,949.2",13.9
34,China,China,Asia-Pacific,144,31,52.0,-0.7,20.0,0.0,36.0,-4.0,69.7,0.0,74.3,-7.2,54.2,2.1,62.0,-1.0,70.6,-3.6,72.8,1.0,30,5.0,30,0.0,3.6,45.0,25.0,19.4,29.3,China,1367.8,"$17,617.3 ",7.4,8.5,"$12,880",4.7,2.0,"128,500.0",41.1
35,Colombia,Colombia,South and Central America / Caribbean,33,3,70.8,-0.9,50.0,0.0,37.0,1.0,80.1,-0.2,74.4,-1.6,78.2,-3.3,77.6,-4.1,79.6,-0.5,81,-0.2,80,0.0,70,0.0,4.5,33.0,25.0,16.5,29.2,Colombia,47.7,$640.1 ,4.6,4.8,"$13,430",10.1,2.9,"16,053.8",38.0
36,Comoros,Comoros,Sub-Saharan Africa,141,32,52.4,0.3,30.0,0.0,26.0,-2.0,64.5,0.0,81.0,2.2,49.6,2.3,51.0,-1.0,79.4,1.5,72,-1.0,40,0.0,30,0.0,6.5,30.0,50.0,12.1,25.2,Comoros,0.8,$1.2 ,3.3,2.8,"$1,548",6.5,2.9,14.0,20.0
37,"Congo, Democratic Republic of the Congo",DemcoraticRepublicCongo,Sub-Saharan Africa,163,40,46.4,1.4,10.0,0.0,22.0,0.0,73.3,0.4,95.2,9.5,42.8,0.0,41.0,2.6,78.5,3.4,61,-2.0,20,0.0,20,0.0,12.0,30.0,40.0,13.0,12.7,Democratic Republic of Congo,79.3,$55.8 ,9.1,7.7,$704,8,1.0,"2,063.2",19.7
38,"Congo, Republic of",RepublicCongo,Sub-Saharan Africa,172,44,42.8,0.1,10.0,0.0,23.0,1.0,66.9,-0.5,55.8,-4.9,35.9,-0.9,38.8,2.8,75.6,4.0,52,-10.4,40,10.0,30,0.0,16.5,45.0,34.0,11.2,38.4,Republic of Congo,4.3,$28.0 ,6.0,5.1,"$6,559",6.5,0.9,"5,502.3",42.3
39,Costa Rica,CostaRica,South and Central America / Caribbean,50,10,67.4,0.2,50.0,0.0,54.0,1.0,79.4,-0.6,88.7,-1.2,68.6,4.1,53.8,-0.8,77.6,1.8,81.6,-2.2,70,0.0,50,0.0,4.2,25.0,30.0,23.2,19.4,Costa Rica,4.8,$71.0 ,3.5,4.3,"$14,864",8.3,3.2,"2,105.9",39.8
40,Côte d'Ivoire,CoeDivoire,Sub-Saharan Africa,92,10,60.0,1.5,30.0,-5.0,32.0,5.0,78.3,0.6,85.4,3.0,62.2,-3.2,46.9,0.9,73.5,-1.5,71.8,0.4,70,15.0,50,0.0,6.6,36.0,25.0,15.7,22.1,Côte d'Ivoire,22.7,$71.1 ,7.5,4.9,"$3,131",4,0.4,462.0,36.4
41,Croatia,Croatia,Europe,103,38,59.1,-2.4,35.0,-5.0,48.0,0.0,70.8,-4.1,33.7,-12.8,60.3,4.5,42.4,-0.4,78.7,-1.3,87.4,0.2,75,-5.0,60,0.0,1.3,40.0,20.0,30.4,47.0,Croatia,4.2,$88.5 ,-0.4,-1.1,"$20,889",16.7,-0.2,"3,451.2",80.9
42,Cuba,Cuba,South and Central America / Caribbean,177,29,29.8,0.2,10.0,0.0,46.0,0.0,52.1,-9.7,0.0,0.0,20,0.0,20.0,0.0,65.2,0.4,64.6,0.8,10,10.0,10,0.0,7.7,50.0,30.0,37.3,64.6,Cuba,11.2,$134.30 ,1.3,N/A ,"$11,950 ",N/A,5.3,N/A,32.1
43,Cyprus,Cyprus,Europe,42,19,68.7,0.8,70.0,0.0,63.0,0.0,76.1,-3.4,47.3,10.6,74.5,-5.0,58.2,-1.4,85.3,2.6,88,0.0,75,5.0,50,0.0,1.0,35.0,12.5,31.8,41.9,Cyprus,0.9,$27.4 ,-2.3,-1.7,"$30,769",15.6,-0.3,679.0,107.1
44,Czech Republic,CzechRepublic,Europe,21,11,73.2,0.7,75.0,0.0,51.0,3.0,82.5,1.0,47.3,6.7,66.6,-1.6,77.7,-5.2,84.1,2.9,88,0.0,80,0.0,80,0.0,1.0,15.0,19.0,34.1,41.9,Czech Republic,10.5,$314.6 ,2.0,1.0,"$29,925",6.2,0.4,"5,908.5",41.6
45,Denmark,Denmark,Europe,12,5,75.3,-1.0,95.0,0.0,92.0,1.0,39.5,-0.1,2.3,0.5,95.4,-2.0,86.0,-6.1,84.4,-3.2,88,0.0,90,0.0,80,0.0,1.0,56.0,23.5,48.6,57.1,Denmark,5.6,$249.5 ,1.0,0.5,"$44,343",6.6,0.6,"3,651.9",42.6
46,Djibouti,Djibouti,Sub-Saharan Africa,124,24,56.0,-1.5,25.0,0.0,34.0,-2.0,80.6,-0.6,57.4,0.3,50.8,-4.6,62.9,-3.7,74.3,-4.6,54.6,-0.2,70,0.0,50,0.0,17.7,30.0,25.0,20.3,37.7,Djibouti,0.9,$2.9 ,6.0,4.8,"$3,051",60.0,2.9,153.0,44.6
47,Dominica,Dominica,South and Central America / Caribbean,53,11,67.0,0.9,60.0,0.0,58.0,0.0,74.0,0.4,68.5,7.0,73.3,1.7,68.7,0.0,90.1,0.6,72.6,-0.2,75,0.0,30,0.0,8.7,35.0,30.0,21.7,32.4,Dominica,0.1,$0.8 ,1.1,-0.0,"$10,800",N/A,0.7,41.1,76.6
48,Dominican Republic,DominicanRepublic,South and Central America / Caribbean,88,17,61.0,0.0,25.0,-5.0,32.0,3.0,84.5,0.4,90.2,3.1,56.6,3.1,56.5,-1.0,73.1,-2.9,77.2,-0.6,75,0.0,40,0.0,6.4,25.0,27.0,13.9,18.1,Dominican Republic,10.6,$138.0 ,7.3,5.2,"$13,012",15.0,3.0,"2,208.3",35.1
49,Ecuador,Ecuador,South and Central America / Caribbean,159,25,48.6,-0.6,15.0,0.0,33.0,-2.0,79.2,0.1,41.8,-9.2,55.5,4.1,51.6,0.3,68.1,-0.1,71.4,0.0,30,0.0,40,0.0,4.3,35.0,22.0,19.3,44.0,Ecuador,16.0,$180.2 ,3.6,5.0,"$11,244",4.6,3.6,773.9,29.8
50,Egypt,Egypt,Middle East / North Africa,125,12,56.0,0.8,20.0,0.0,37.0,5.0,85.6,-0.2,65.9,-2.1,68.3,2.9,51.4,-2.2,65.8,-1.6,70.6,0.6,55,5.0,40,0.0,9.7,25.0,25.0,13.9,33.7,Egypt,86.7,$943.1 ,2.2,2.7,"$10,877",13.2,10.1,"4,783.2",90.5
51,El Salvador,ElSalvador,South and Central America / Caribbean,63,12,65.1,-0.6,35.0,0.0,39.0,1.0,79.1,-0.3,85.3,-0.2,56,2.7,52.6,-0.7,83.4,0.9,85.8,0.6,75,0.0,60,-10.0,2.1,30.0,30.0,17.1,22.1,El Salvador,6.4,$50.9 ,2.0,1.8,"$8,021",6.2,1.1,275.0,56.5
52,Equatorial Guinea,EquatorialGuinea,Sub-Saharan Africa,170,43,43.7,3.3,10.0,0.0,19.0,0.0,75.4,0.0,45.6,14.2,45.6,8.1,38.4,4.9,78.9,0.6,53.8,0.0,40,5.0,30,0.0,15.6,35.0,35.0,2.3,42.6,Equatorial Guinea,0.8,$25.1 ,-3.1,-0.2,"$32,266",7.9,3.0,"1,933.0",7.6
53,Eritrea,Eritrea,Sub-Saharan Africa,173,45,42.7,3.8,10.0,0.0,18.0,-2.0,80.9,23.9,73.4,1.6,32.1,13.9,65.6,0.1,57.8,0.0,69.2,0.0,0,0.0,20,0.0,5.4,30.0,30.0,10.7,29.8,Eritrea,6.5,$7.8 ,1.7,4.2,"$1,195",7.2,12.3,46.5,125.3
54,Estonia,Estonia,Europe,9,3,77.2,0.4,90.0,0.0,69.0,1.0,81.9,1.3,54.9,1.7,79,-2.5,57.2,-1.5,82.2,4.6,88,0.0,90,0.0,80,0.0,1.0,20.0,20.0,31.8,38.8,Estonia,1.3,$35.6 ,2.1,3.8,"$26,999",7.7,0.5,982.9,9.7
55,Ethiopia,Ethiopia,Sub-Saharan Africa,148,37,51.5,0.0,30.0,0.0,33.0,0.0,77.2,-0.2,90.5,-0.9,55.8,-0.1,57.7,1.3,66.0,-0.1,65,0.6,20,0.0,20,0.0,10.0,35.0,30.0,12.4,17.8,Ethiopia,91.0,$144.6 ,10.3,10.2,"$1,589",5.2,7.4,"1,200.0",21.9
56,Fiji,Fiji,Asia-Pacific,107,23,58.8,-0.2,30.0,5.0,22.3,0.0,81.2,-0.1,75.3,0.7,62,-1.2,70.6,-4.6,77.6,-0.7,68.8,-1.4,50,0.0,50,0.0,10.6,29.0,20.0,25.3,28.7,Fiji,0.9,$7.3 ,4.1,3.2,"$8,236",7.9,0.5,278.9,49.5
57,Finland,Finland,Europe,24,13,72.6,-0.8,90.0,0.0,89.0,0.0,66.5,0.1,0.8,-2.8,90.7,-1.9,53.7,-1.1,81.9,2.0,88,0.0,85,-5.0,80,0.0,1.0,31.8,20.0,44.0,57.5,Finland,5.5,$221.0 ,-0.1,0.5,"$40,347",8.6,1.2,"18,624.7",59.6
58,France,France,Europe,75,32,62.3,-0.2,80.0,0.0,69.0,-2.0,47.7,0.2,2.5,0.0,78.4,-1.8,43.5,0.0,79.1,1.6,83,0.0,70,0.0,70,0.0,1.0,45.0,34.3,45.0,57.0,France,63.9,"$2,580.8 ",0.4,1.0,"$40,375",9.9,0.6,"15,191.1",95.1
59,Gabon,Gabon,Sub-Saharan Africa,105,15,59.0,0.7,40.0,0.0,37.0,3.0,77.6,0.1,74.5,-0.1,58.4,0.5,61.9,-2.4,78.4,0.0,61.8,0.8,60,5.0,40,0.0,14.1,35.0,30.0,10.6,29.2,Gabon,1.6,$36.3 ,5.1,5.9,"$22,924",19.7,4.5,972.9,27.8
60,Gambia,Gambia,Sub-Saharan Africa,119,21,57.1,-0.4,25.0,0.0,29.0,1.0,75.5,0.1,78.0,4.6,53.4,-2.3,65.8,-0.9,64.7,-6.1,65,0.0,65,0.0,50,0.0,12.5,35.0,32.0,14.3,27.1,The Gambia,1.9,$3.1 ,-0.2,2.5,"$1,599",7,6.3,28.4,100.2
61,Georgia,Georgia,Europe,23,12,72.6,-0.4,40.0,0.0,52.0,3.0,87.6,0.4,75.3,1.5,86.5,-2.1,75.7,-4.2,80.5,-2.2,88.6,0.0,80,0.0,60,0.0,0.7,20.0,15.0,24.8,28.7,Georgia,4.5,$34.2 ,4.7,5.6,"$7,653",13.4,3.1,"1,279.1",35.1
62,Germany,Germany,Europe,17,8,74.4,0.6,90.0,0.0,79.0,1.0,61.5,0.7,41.3,1.2,90,1.8,50.6,-0.6,83.3,1.8,88,0.0,90,0.0,70,0.0,1.0,47.5,15.8,36.7,44.3,Germany,81.1,"$3,721.6 ",1.6,2.0,"$45,888",5.0,0.8,"1,830.9",73.1
63,Ghana,Ghana,Sub-Saharan Africa,72,5,63.0,0.0,50.0,0.0,48.0,2.0,84.9,0.3,77.6,6.8,61.5,-1.0,56.5,-0.4,66.5,-2.7,65,0.2,60,-5.0,60,0.0,10.0,25.0,25.0,16.1,27.3,Ghana,26.2,$108.3 ,4.2,8.3,"$4,129",2.4,15.5,"3,357.0",67.6
64,Greece,Greece,Europe,138,41,53.2,-0.8,40.0,0.0,43.0,3.0,64.4,0.2,0.0,0.0,73.8,0.5,50.2,-1.4,77.7,-0.1,83,0.0,60,0.0,40,-10.0,1.0,42.0,26.0,33.5,60.1,Greece,11.0,$284.3 ,0.8,-4.8,"$25,859",26.3,-1.4,"2,171.6",177.2
65,Guatemala,Guatemala,South and Central America / Caribbean,82,15,61.8,1.4,20.0,0.0,32.0,3.0,79.1,-0.5,94.3,0.2,62.5,7.8,50.9,0.3,77.9,1.1,86.4,1.8,65,0.0,50,0.0,1.8,31.0,31.0,13.0,13.8,Guatemala,15.9,$119.1 ,4.0,3.5,"$7,503",2.9,3.4,"1,395.8",23.7
66,Guinea,Guinea,Sub-Saharan Africa,136,30,53.3,1.2,20.0,5.0,25.0,1.0,68.5,0.4,81.2,1.7,51.4,-0.2,71.8,-2.6,69.2,2.5,61.2,0.0,45,5.0,40,0.0,11.9,40.0,35.0,17.9,25.1,Guinea,11.4,$15.0 ,0.4,2.5,"$1,313",1.8,9.7,566.0,37.4
67,Guinea-Bissau,GuineaBissau,Sub-Saharan Africa,145,35,51.8,-0.2,20.0,0.0,19.0,0.0,89.3,0.2,94.1,6.1,36.7,-2.9,61.1,-0.6,78.5,1.0,59.4,-6.0,30,0.0,30,0.0,12.8,20.0,25.0,6.5,14.0,Guinea-Bissau,1.7,$2.5 ,2.5,2.8,"$1,436",6.9,-1.0,21.5,61.0
68,Guyana,Guyana,South and Central America / Caribbean,127,22,55.4,-0.1,30.0,5.0,30.0,3.0,68.7,0.0,73.1,2.3,63,-0.8,70.7,-3.8,77.4,-1.0,70.8,-1.2,40,-5.0,30,0.0,7.1,33.3,40.0,20.6,29.9,Guyana,0.8,$5.5 ,3.8,4.7,"$6,895",11.1,1.0,255.2,65.8
69,Haiti,Haiti,South and Central America / Caribbean,150,24,51.3,0.0,10.0,0.0,19.0,0.0,80.5,0.2,76.4,0.2,47.1,4.0,62.0,-1.7,76.0,2.5,72,-5.6,40,0.0,30,0.0,6.5,30.0,30.0,12.2,28.0,Haiti,10.5,$18.3 ,2.8,2.0,"$1,750",6.8,3.9,99.0,26.0
70,Honduras,Honduras,South and Central America / Caribbean,113,19,57.7,0.3,30.0,0.0,29.0,3.0,84.2,-0.7,72.0,-6.7,58,4.8,31.0,3.0,74.8,-0.6,78.4,0.8,60,0.0,60,0.0,5.8,25.0,25.0,18.1,30.6,Honduras,8.3,$39.1 ,3.1,3.5,"$4,729",3.9,6.1,"1,144.1",46.1
71,Hong Kong SAR,HongKong,Asia-Pacific,1,1,88.6,-1.0,90.0,0.0,74.0,-1.0,92.6,-0.6,90.7,1.0,97.4,-2.6,89.0,-6.9,81.8,0.0,90,0.0,90,0.0,90,0.0,0.0,15.0,16.5,15.7,17.6,Hong Kong,7.3,$397.5 ,2.3,3.7,"$54,722",3.2,4.4,"103,254.2",6.9
72,Hungary,Hungary,Europe,58,26,66.0,-0.8,45.0,-10.0,54.0,0.0,78.7,0.0,26.7,0.8,70.6,-3.9,63.8,-3.9,88.3,9.1,88,0.0,75,0.0,70,0.0,1.0,16.0,19.0,38.9,49.4,Hungary,9.9,$246.4 ,3.6,1.3,"$24,942",7.8,-0.3,"4,039.4",76.9
73,Iceland,Iceland,Europe,20,10,73.3,1.3,90.0,0.0,79.0,1.0,73.3,1.3,42.1,9.5,90.1,-0.4,61.6,-0.6,79.5,2.5,87.8,-0.2,70,0.0,60,0.0,1.1,31.8,20.0,35.5,43.9,Iceland,0.3,$14.2 ,1.8,1.1,"$43,637",5.0,2.0,436.1,82.1
74,India,India,Asia-Pacific,123,25,56.2,1.6,55.0,0.0,38.0,2.0,77.1,-2.3,78.1,-0.2,47.6,4.3,47.8,-0.9,72.8,7.5,71,6.4,35,0.0,40,0.0,7.0,30.9,32.4,16.7,27.0,India,1259.7,"$7,375.9 ",7.2,7.2,"$5,855",3.6,6.0,"34,416.8",65.0
75,Indonesia,Indonesia,Asia-Pacific,99,21,59.4,1.3,30.0,0.0,34.0,2.0,83.4,0.1,89.0,0.7,54,4.7,49.3,0.6,74.3,-0.6,80.4,5.6,40,0.0,60,0.0,2.3,30.0,25.0,11.8,19.1,Indonesia,251.5,"$2,676.1 ",5.0,5.8,"$10,641",6.2,6.4,"22,579.6",25.0
76,Iran,Iran,Middle East / North Africa,171,14,43.5,1.7,10.0,0.0,27.0,2.0,81.2,0.0,93.2,0.2,59.3,2.3,49.0,-2.3,50.6,1.9,54.6,13.2,0,0.0,10,0.0,15.2,35.0,25.0,5.8,15.0,Iran,78.0,"$1,334.3 ",3.0,1.0,"$17,114",12.8,15.5,"2,105.5",12.2
77,Iraq,Iraq,Middle East / North Africa,N/A,N/A,N/A,N/A,N/A,N/A,16.0,0.0,N/A,N/A,29.7,-14.1,63.2,5.5,68.5,-5.9,75.0,1.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.0,15.0,N/A,48.4,Iraq,35.9,$522.7 ,-2.4,6.4,"$14,571",16.4,2.2,"4,781.8",37.0
78,Ireland,Ireland,Europe,8,2,77.3,0.7,90.0,5.0,74.0,2.0,73.6,0.0,50.3,4.7,79.6,-2.5,72.1,-4.1,85.5,1.6,88,0.0,90,0.0,70,0.0,1.0,41.0,12.5,28.3,40.7,Ireland,4.6,$226.8 ,4.8,1.4,"$49,195",11.6,0.3,"7,697.7",109.5
79,Israel,Israel,Middle East / North Africa,35,4,70.7,0.2,75.0,0.0,60.0,-1.0,60.6,-1.3,48.8,1.0,70.6,-1.8,64.6,-2.5,84.2,2.6,88.2,-0.4,85,5.0,70,0.0,0.9,48.0,26.5,30.5,41.3,Israel,8.2,$268.5 ,2.8,3.8,"$32,691",6.1,0.5,"6,431.6",68.8
80,Italy,Italy,Europe,86,36,61.2,-0.5,50.0,-5.0,43.0,0.0,55.8,1.6,22.1,-1.1,70.3,-1.6,53.0,-2.4,84.5,3.3,88,0.0,85,0.0,60,0.0,1.0,43.0,27.5,42.6,51.0,Italy,60.0,"$2,127.7 ",-0.4,-0.5,"$35,486",12.5,0.2,"11,450.8",132.1
81,Jamaica,Jamaica,South and Central America / Caribbean,48,8,67.5,-0.2,40.0,0.0,38.0,0.0,81.7,0.2,78.0,4.8,81.3,-4.6,72.7,-3.8,77.5,6.1,75.4,0.4,80,-5.0,50,0.0,7.3,25.0,25.0,24.0,27.1,Jamaica,2.8,$24.1 ,0.5,0.0,"$8,609",13.2,7.1,550.8,140.6
82,Japan,Japan,Asia-Pacific,22,6,73.1,-0.2,80.0,0.0,76.0,2.0,68.5,-0.2,46.2,-0.9,82.5,-1.6,83.9,-6.3,81.2,-5.5,82.6,0.0,70,0.0,60,10.0,1.2,40.8,23.9,30.3,42.3,Japan,127.1,"$4,750.8 ",-0.1,1.5,"$37,390",3.7,2.7,"2,089.8",246.4
83,Jordan,Jordan,Middle East / North Africa,46,5,68.3,-1.0,60.0,0.0,49.0,4.0,91.7,-2.0,62.0,-8.7,64.9,5.8,68.4,-6.0,83.1,2.5,73.4,-6.2,70,0.0,60,0.0,8.3,14.0,20.0,15.3,35.6,Jordan,6.7,$79.6 ,3.1,2.7,"$11,927",11.1,2.9,"1,760.4",89.3
84,Kazakhstan,Kazakhstan,Asia-Pacific,68,12,63.6,0.3,30.0,5.0,29.0,3.0,93.0,-0.2,87.7,2.7,72.3,-1.4,82.7,-4.3,74.0,-0.6,77.4,-1.6,40,0.0,50,0.0,3.8,10.0,20.0,14.0,20.2,Kazakhstan,17.4,$418.5 ,4.3,6.0,"$24,020",4.1,6.7,"9,562.0",15.1
